ID_ASIGNATURA,NOMBRE,CREDITOS,HORAS,DEPARTAMENTO,OFICIAL
1444,PROCEDIM.CONSTRUC.ELEMENT.ESTRUCTUR.,6,3,,1
1445,FUNDAMENTOS DE ESTADISTICA,8,4,,1
1446,ELECTROMAGNETISMO Y OPTICA,10,5,,1
1447,ESTADISTICA APLICADA ING. GEOMATICA,4,2,,1
1448,GEODESIA I,8,4,,1
1449,PROCESOS FOTOGRAMETRICOS,12,6,,1
1450,SISTEMAS QUIMICOS EN INGENIERIA,6,3,,1
1451,FUNDAMENTOS DE OPTICA,6,3,,1
1452,INTRODUCCION A FISICA DEL EDO. SOLID,8,4,,1
1453,SISTEMAS DIGITALES,8,4,,1
1454,SISTEMAS Y SEÑALES,8,4,,1
1455,ANALISIS QUIMICO,8,4,,1
1456,LEGISLACION MINERA,4,2,,1
1457,METODOS MEDICION MINERO-CARTOGRAFICO,11,5.5,,1
1458,CAMPOS Y ONDAS,8,4,,1
1459,DISPOSITIVOS DE RADIO-FRECUENCIA,10,5,,1
145,ELECTRONICA DE POTENCIA,8,4,,1
1460,ELEMENTOS DE CONTROL,6,3,,1
1461,FUNDAMENTOS DE PROCESOS ALEATORIOS,6,3,,1
1462,FUNDAMENTOS SISTEMAS DE COMUNICACION,10,5,,1
1463,TEORIA DE CIRCUITOS,8,4,,1
1464,FUNDAMENTOS DE METALURGIA EXTRACTIVA,8,4,,1
1465,FUNDAMENTOS PARA EXPLOTACION D MINAS,8,4,,1
1466,PROSPECCION Y EXPLORACION MINERA,6,3,,1
1467,CIRCUITOS DE RADIO-FRECUENCIA,10,5,,1
1468,INTRODUCCION A LA GEOFISICA,10,5,,1
1469,FUNDAMENTOS APLICAC.PROCES.DIGIT.SEÑ,6,3,,1
1470,INTRODUCCION A CODIFIC.FUENTE-CANAL,6,3,,1
1472,TECNICAS DE PROGRAMACION,10,5,,1
1473,SEÑALES Y SISTEMAS,8,4,,1
1503,ESTRUCTURA Y PROGRAMAC.COMPUTADOR,8,4,,1
1506,GEOLOGIA,9,4.5,,1
1507,HIDRAULICA DE CANALES,9,4.5,,1
1510,LEGISLACION TOPOGRAFICA,9,4.5,,1
1521,ELEMENTOS MEC.MEDIO CONTINUO,8,4,,1
1523,CONTABILIDAD FINANCIERA-COS.,6,3,,1
1525,INGENIERIA INDUS.PRODUCTIVID,6,3,,1
152,CIMENTACIONES,9,4.5,,1
1531,INGENIERIA DE SOFTWARE,8,4,,1
1533,GEODESIA II,12,6,,1
1534,INTRODUCCION BASE DATOS ESPACIALES,6,3,,1
1535,DISEÑO DIGITAL VLSI,8,4,,1
1537,FINANZAS EN  INGENIERIA  COMPUTACION,6,3,,1
1539,INGENIERIA ECONOMICA,6,3,,1
1540,MECANICA DE SOLIDOS,8,4,,1
1541,GEODESIA,9,4.5,,1
1542,GEOLOGIA Y GEOMORFOLOGIA,8,4,,1
1543,MODELACION MATEMATICA,6,3,,1
1544,SISTEMA POSICIONAMIENTO GLOBAL GPS,8,4,,1
1545,TEORIA DE LOS ERRORES I,6,3,,1
