ID_ESTRUCTURA,ID_PLAN,ID_ASIGNATURA,TIPO,ID_SEMESTRE,LABORATORIO
40581222,4058,1222,OBL,2,0
40581223,4058,1223,OBL,2,0
40581229,4058,1229,OBL,2,0
40581506,4058,1506,OBL,2,0
40580275,4058,0275,OBL,3,0
40581321,4058,1321,OBL,3,0
40581322,4058,1322,OBL,3,0
40581325,4058,1325,OBL,3,0
40581333,4058,1333,OBL,3,0
40581407,4058,1407,OBL,3,0
40580465,4058,0465,OBL,4,0
40581433,4058,1433,OBL,4,0
40581436,4058,1436,OBL,4,0
40581444,4058,1444,OBL,4,0
40581450,4058,1450,OBL,4,0
40581555,4058,1555,OBL,4,0
40580387,4058,0387,OBL,5,0
40580466,4058,0466,OBL,5,0
40581402,4058,1402,OBL,5,0
40581413,4058,1413,OBL,5,0
40581595,4058,1595,OBL,5,0
40581596,4058,1596,OBL,5,0
40581052,4058,1052,OBL,6,0
40581601,4058,1601,OBL,6,0
40581730,4058,1730,OBL,6,0
40581731,4058,1731,OBL,6,0
40582600,4058,2600,OBL,6,0
40582601,4058,2601,OBL,6,0
40580032,4058,0032,OBL,7,0
40580642,4058,0642,OBL,7,0
40581507,4058,1507,OBL,7,0
40581608,4058,1608,OBL,7,0
40581703,4058,1703,OBL,7,0
40581714,4058,1714,OBL,7,0
40580152,4058,0152,OBL,8,0
40580234,4058,0234,OBL,8,0
40580379,4058,0379,OBL,8,0
40582800,4058,2800,OBL,8,0
40582801,4058,2801,OBL,8,0
40582803,4058,2803,OBL,8,0
40580230,4058,0230,OBL,9,0
40580610,4058,0610,OBL,9,0
40581935,4058,1935,OBL,9,0
40582080,4058,2080,OBL,9,0
40582156,4058,2156,OBL,9,0
40582913,4058,2913,OBL,9,0
40581760,4058,1760,OBL,10,0
40582915,4058,2915,OBL,10,0
40582916,4058,2916,OBL,10,0
40582061,4058,2061,OPT,0,0
40582700,4058,2700,OPT,0,0
40583025,4058,3025,OPT,0,0
40583026,4058,3026,OPT,0,0
40583027,4058,3027,OPT,0,0
40583028,4058,3028,OPT,0,0
40583029,4058,3029,OPT,0,0
40583030,4058,3030,OPT,0,0
40583037,4058,3037,OPT,0,0
40583038,4058,3038,OPT,0,0
40583039,4058,3039,OPT,0,0
40583040,4058,3040,OPT,0,0
40583041,4058,3041,OPT,0,0
40583042,4058,3042,OPT,0,0
40583043,4058,3043,OPT,0,0
40583044,4058,3044,OPT,0,0
40583045,4058,3045,OPT,0,0
40583046,4058,3046,OPT,0,0
40583047,4058,3047,OPT,0,0
40583048,4058,3048,OPT,0,0
40583049,4058,3049,OPT,0,0
40583050,4058,3050,OPT,0,0
40583051,4058,3051,OPT,0,0
40583052,4058,3052,OPT,0,0
40583053,4058,3053,OPT,0,0
40583054,4058,3054,OPT,0,0
40583055,4058,3055,OPT,0,0
40583056,4058,3056,OPT,0,0
40583057,4058,3057,OPT,0,0
40583058,4058,3058,OPT,0,0
40583059,4058,3059,OPT,0,0
40583060,4058,3060,OPT,0,0
40583061,4058,3061,OPT,0,0
40583062,4058,3062,OPT,0,0
40583063,4058,3063,OPT,0,0
40581055,4058,1055,OPT,0,0
40581789,4058,1789,OPT,0,0
40581790,4058,1790,OPT,0,0
40581791,4058,1791,OPT,0,0
40581792,4058,1792,OPT,0,0
40581793,4058,1793,OPT,0,0
40581794,4058,1794,OPT,0,0
40581795,4058,1795,OPT,0,0
40581796,4058,1796,OPT,0,0
40580274,4058,0274,OPT,0,0
40583031,4058,3031,OPT,0,0
40583032,4058,3032,OPT,0,0
40583033,4058,3033,OPT,0,0
40583034,4058,3034,OPT,0,0
40583035,4058,3035,OPT,0,0
40583036,4058,3036,OPT,0,0
40591120,4059,1120,OBL,1,0
40591121,4059,1121,OBL,1,0
40591124,4059,1124,OBL,1,0
40591127,4059,1127,OBL,1,0
40591128,4059,1128,OBL,1,0
40591220,4059,1220,OBL,2,0
40591221,4059,1221,OBL,2,0
40591222,4059,1222,OBL,2,0
40591223,4059,1223,OBL,2,0
40591229,4059,1229,OBL,2,0
40591506,4059,1506,OBL,2,0
40590275,4059,0275,OBL,3,0
40591321,4059,1321,OBL,3,0
40591322,4059,1322,OBL,3,0
40591325,4059,1325,OBL,3,0
40591333,4059,1333,OBL,3,0
40591407,4059,1407,OBL,3,0
40590465,4059,0465,OBL,4,0
40591433,4059,1433,OBL,4,0
40591436,4059,1436,OBL,4,0
40591444,4059,1444,OBL,4,0
40591450,4059,1450,OBL,4,0
40591555,4059,1555,OBL,4,0
40590387,4059,0387,OBL,5,0
40590466,4059,0466,OBL,5,0
40591402,4059,1402,OBL,5,0
40591413,4059,1413,OBL,5,0
40591595,4059,1595,OBL,5,0
40591596,4059,1596,OBL,5,0
40591052,4059,1052,OBL,6,0
40591601,4059,1601,OBL,6,0
40591730,4059,1730,OBL,6,0
40591731,4059,1731,OBL,6,0
40592600,4059,2600,OBL,6,0
40592601,4059,2601,OBL,6,0
40590032,4059,0032,OBL,7,0
40590642,4059,0642,OBL,7,0
40591507,4059,1507,OBL,7,0
40591608,4059,1608,OBL,7,0
40591703,4059,1703,OBL,7,0
40591714,4059,1714,OBL,7,0
40590152,4059,0152,OBL,8,0
40590234,4059,0234,OBL,8,0
40590379,4059,0379,OBL,8,0
40592800,4059,2800,OBL,8,0
40592801,4059,2801,OBL,8,0
40592803,4059,2803,OBL,8,0
40590230,4059,0230,OBL,9,0
40590610,4059,0610,OBL,9,0
40591935,4059,1935,OBL,9,0
40592080,4059,2080,OBL,9,0
40592156,4059,2156,OBL,9,0
40592913,4059,2913,OBL,9,0
40591760,4059,1760,OBL,10,0
40592915,4059,2915,OBL,10,0
40592916,4059,2916,OBL,10,0
40590274,4059,0274,OPT,0,0
40592061,4059,2061,OPT,0,0
40592700,4059,2700,OPT,0,0
40593025,4059,3025,OPT,0,0
40593026,4059,3026,OPT,0,0
40593027,4059,3027,OPT,0,0
40593028,4059,3028,OPT,0,0
40593029,4059,3029,OPT,0,0
40593030,4059,3030,OPT,0,0
40593031,4059,3031,OPT,0,0
40593032,4059,3032,OPT,0,0
40593033,4059,3033,OPT,0,0
40593034,4059,3034,OPT,0,0
40593035,4059,3035,OPT,0,0
40593036,4059,3036,OPT,0,0
40593044,4059,3044,OPT,0,0
40593045,4059,3045,OPT,0,0
40593046,4059,3046,OPT,0,0
40593047,4059,3047,OPT,0,0
40593048,4059,3048,OPT,0,0
40593049,4059,3049,OPT,0,0
40593050,4059,3050,OPT,0,0
40593051,4059,3051,OPT,0,0
40593052,4059,3052,OPT,0,0
40593053,4059,3053,OPT,0,0
40593054,4059,3054,OPT,0,0
40593055,4059,3055,OPT,0,0
40593056,4059,3056,OPT,0,0
40593057,4059,3057,OPT,0,0
40593058,4059,3058,OPT,0,0
40593059,4059,3059,OPT,0,0
40593060,4059,3060,OPT,0,0
40593061,4059,3061,OPT,0,0
40593062,4059,3062,OPT,0,0
40593063,4059,3063,OPT,0,0
40591055,4059,1055,OPT,0,0
40591789,4059,1789,OPT,0,0
40591790,4059,1790,OPT,0,0
40591791,4059,1791,OPT,0,0
40591792,4059,1792,OPT,0,0
40591793,4059,1793,OPT,0,0
40591794,4059,1794,OPT,0,0
40591795,4059,1795,OPT,0,0
40591796,4059,1796,OPT,0,0
40593037,4059,3037,OPT,0,0
40593038,4059,3038,OPT,0,0
40593039,4059,3039,OPT,0,0
40593040,4059,3040,OPT,0,0
40593041,4059,3041,OPT,0,0
40593042,4059,3042,OPT,0,0
40593043,4059,3043,OPT,0,0
40601120,4060,1120,OBL,1,0
40601121,4060,1121,OBL,1,0
40601124,4060,1124,OBL,1,0
40601127,4060,1127,OBL,1,0
40601128,4060,1128,OBL,1,0
40601220,4060,1220,OBL,2,0
40601221,4060,1221,OBL,2,0
40601222,4060,1222,OBL,2,0
40601223,4060,1223,OBL,2,0
40601229,4060,1229,OBL,2,0
40601506,4060,1506,OBL,2,0
40600275,4060,0275,OBL,3,0
40601321,4060,1321,OBL,3,0
40601322,4060,1322,OBL,3,0
40601325,4060,1325,OBL,3,0
40601333,4060,1333,OBL,3,0
40601407,4060,1407,OBL,3,0
40600465,4060,0465,OBL,4,0
40601433,4060,1433,OBL,4,0
40601436,4060,1436,OBL,4,0
40601444,4060,1444,OBL,4,0
40601450,4060,1450,OBL,4,0
40601555,4060,1555,OBL,4,0
40600387,4060,0387,OBL,5,0
40600466,4060,0466,OBL,5,0
40601402,4060,1402,OBL,5,0
40601413,4060,1413,OBL,5,0
40601595,4060,1595,OBL,5,0
40601596,4060,1596,OBL,5,0
40601052,4060,1052,OBL,6,0
40601601,4060,1601,OBL,6,0
40601730,4060,1730,OBL,6,0
40601731,4060,1731,OBL,6,0
40602600,4060,2600,OBL,6,0
40602601,4060,2601,OBL,6,0
40600032,4060,0032,OBL,7,0
40600642,4060,0642,OBL,7,0
40601507,4060,1507,OBL,7,0
40601608,4060,1608,OBL,7,0
40601703,4060,1703,OBL,7,0
40601714,4060,1714,OBL,7,0
40600152,4060,0152,OBL,8,0
40600234,4060,0234,OBL,8,0
40600379,4060,0379,OBL,8,0
40602800,4060,2800,OBL,8,0
40602801,4060,2801,OBL,8,0
40602803,4060,2803,OBL,8,0
40600230,4060,0230,OBL,9,0
40600610,4060,0610,OBL,9,0
40601935,4060,1935,OBL,9,0
40602080,4060,2080,OBL,9,0
40602156,4060,2156,OBL,9,0
40602913,4060,2913,OBL,9,0
40601760,4060,1760,OBL,10,0
40602915,4060,2915,OBL,10,0
40602916,4060,2916,OBL,10,0
40600274,4060,0274,OPT,0,0
40602700,4060,2700,OPT,0,0
40603025,4060,3025,OPT,0,0
40603026,4060,3026,OPT,0,0
40603027,4060,3027,OPT,0,0
40603028,4060,3028,OPT,0,0
40603029,4060,3029,OPT,0,0
40603030,4060,3030,OPT,0,0
40603031,4060,3031,OPT,0,0
40603032,4060,3032,OPT,0,0
40603033,4060,3033,OPT,0,0
40603034,4060,3034,OPT,0,0
40603035,4060,3035,OPT,0,0
40603036,4060,3036,OPT,0,0
40603037,4060,3037,OPT,0,0
40603038,4060,3038,OPT,0,0
40603039,4060,3039,OPT,0,0
40603040,4060,3040,OPT,0,0
40603041,4060,3041,OPT,0,0
40603042,4060,3042,OPT,0,0
40603043,4060,3043,OPT,0,0
40603051,4060,3051,OPT,0,0
40603052,4060,3052,OPT,0,0
40603053,4060,3053,OPT,0,0
40603054,4060,3054,OPT,0,0
40603055,4060,3055,OPT,0,0
40603056,4060,3056,OPT,0,0
40603057,4060,3057,OPT,0,0
40603058,4060,3058,OPT,0,0
40603059,4060,3059,OPT,0,0
40603060,4060,3060,OPT,0,0
40603061,4060,3061,OPT,0,0
40603062,4060,3062,OPT,0,0
40603063,4060,3063,OPT,0,0
40601055,4060,1055,OPT,0,0
40601789,4060,1789,OPT,0,0
40601790,4060,1790,OPT,0,0
40601791,4060,1791,OPT,0,0
40601792,4060,1792,OPT,0,0
40601793,4060,1793,OPT,0,0
40601794,4060,1794,OPT,0,0
40601795,4060,1795,OPT,0,0
40601796,4060,1796,OPT,0,0
40602061,4060,2061,OPT,0,0
40603044,4060,3044,OPT,0,0
40603045,4060,3045,OPT,0,0
40603046,4060,3046,OPT,0,0
40603047,4060,3047,OPT,0,0
40603048,4060,3048,OPT,0,0
40603049,4060,3049,OPT,0,0
40603050,4060,3050,OPT,0,0
40611120,4061,1120,OBL,1,0
40611121,4061,1121,OBL,1,0
40611124,4061,1124,OBL,1,0
40611127,4061,1127,OBL,1,0
40611128,4061,1128,OBL,1,0
40611220,4061,1220,OBL,2,0
40611221,4061,1221,OBL,2,0
40611222,4061,1222,OBL,2,0
40611223,4061,1223,OBL,2,0
40611229,4061,1229,OBL,2,0
40611506,4061,1506,OBL,2,0
40610275,4061,0275,OBL,3,0
40611321,4061,1321,OBL,3,0
40611322,4061,1322,OBL,3,0
40611325,4061,1325,OBL,3,0
40611333,4061,1333,OBL,3,0
40611407,4061,1407,OBL,3,0
40610465,4061,0465,OBL,4,0
40611433,4061,1433,OBL,4,0
40611436,4061,1436,OBL,4,0
40611444,4061,1444,OBL,4,0
40611450,4061,1450,OBL,4,0
